vendor_name,import_year,total_spend,num_transactions,num_categories,mean_approval_delay,mean_fulfillment_delay,anomaly_score,is_anomaly,pca_1,pca_2
PMC ASSOCIATES INC,2019,9242.04,1,1,4.0,11.0,0.1902795898932994,False,-0.38344169052302285,0.016320483193431615
PMC ASSOCIATES INC,2020,300.0,1,1,0.0,61.0,0.19036500230778775,False,-0.36659722887227675,-0.41552399424174213
PMC ASSOCIATES INC,2021,622.8000000000001,1,1,4.0,30.0,0.19055068106353007,False,-0.4112212517013234,0.16714930034327002
POINT SECURITY INC,2017,253858.0,2,3,8.804347826086957,56.73913043478261,0.05577952341899933,False,-0.4352180873811938,1.440221173231144
POINT SECURITY INC,2018,200.0,1,1,0.0,66.0,0.18474766001873344,False,-0.3737834199921865,-0.3754055263233102
POINT SECURITY INC,2021,175.0,1,1,0.0,34.0,0.19649570070129307,False,-0.32782989539011226,-0.6322945831955096
POINT SECURITY INC,2023,775.88,1,2,1.0,0.0,0.1980884228335218,False,-0.2544563854971254,-0.693024742495217
POLYGRAPH AND ASSESSMENT SERVICES INC,2016,31408.0,3,1,2.4,317.0,0.06876405950378167,False,-0.7591896931898576,2.147500356955231
POLYGRAPH AND ASSESSMENT SERVICES INC,2017,63076.0,9,2,3.2,21.5,0.171624574568368,False,-0.22375465693487198,-0.03906495599846878
POLYGRAPH AND ASSESSMENT SERVICES INC,2018,4275.0,2,1,3.0,33.5,0.1958955113007821,False,-0.38036708720215123,-0.01042692339407073
POLYMERSHAPES LLC,2019,50.0,1,1,0.0,7.0,0.1988253337695502,False,-0.2890625619079478,-0.8490651721492773
PORTABLE WASTE SOLUTIONS LLC,2020,2520.0,2,2,9.5,147.0,0.060019145328588874,False,-0.6415490762616793,2.255720770308629
PORTABLE WASTE SOLUTIONS LLC,2021,720.0,2,2,2.0,44.5,0.1966077914553857,False,-0.32727513982354606,-0.1264647207307416
POWER & HEAT SYSTEMS LLC,2016,234566.5,7,6,2.823529411764706,51.125,0.113602709006282,False,-0.08763501475817521,0.1681925125635553
POWER & HEAT SYSTEMS LLC,2017,38958.6,16,9,2.8214285714285716,27.272727272727273,0.16288575600191618,False,0.1962942974499838,-0.036266366662681015
POWER & HEAT SYSTEMS LLC,2018,22158.75,4,8,16.636363636363637,32.5,0.018782971224050704,False,-0.32748784147681276,2.8521296871862343
POWER & HEAT SYSTEMS LLC,2019,72829.0,5,5,2.7,28.11111111111111,0.17328123258830475,False,-0.13466164271237638,-0.08123395770333956
POWER MECHANICAL INC,2017,9098.0,2,2,1.3333333333333333,47.0,0.19202508377333027,False,-0.3155251560532754,-0.24332469402283965
POWER MECHANICAL INC,2018,5380.0,2,1,1.5,9.5,0.20331805228244865,False,-0.31240204507997044,-0.5146724337148338
POWERHOUSE RECYCLING INC,2018,369.1,7,4,4.842105263157895,155.5,0.10255437153299513,False,-0.38954390954057333,1.371135319001839
POWERHOUSE RECYCLING INC,2019,51.239999999999995,4,2,5.0,34.0,0.17873739302117325,False,-0.3523437107762167,0.41566316924246094
POWERHOUSE RECYCLING INC,2021,-167.86,4,3,4.0,17.0,0.1872244859535092,False,-0.2588500588290502,0.0755082077505101
POWERHOUSE TECHNOLOGY INC,2016,5016.0,1,1,3.0,213.0,0.12278584702088241,False,-0.6514841249829045,1.4292034071051016
POWERS BUSINESS MACHINES INC,2019,16924.0,4,4,1.625,1.0,0.18621081286741398,False,-0.1351515110920866,-0.5390291166219197
POWHATAN AUTO AND TRACTOR PARTS INC,2017,24483.5,14,6,0.3333333333333333,19.391304347826086,0.165639542009762,False,0.09507528323003621,-0.6351989733567706
POWHATAN AUTO AND TRACTOR PARTS INC,2018,5913.46,5,5,0.23529411764705882,18.875,0.18877227777861705,False,-0.07029225201172609,-0.6808759833233478
POWHATAN AUTO AND TRACTOR PARTS INC,2019,5149.94,7,3,0.0,2.1666666666666665,0.18816224335880444,False,-0.1079392655038764,-0.8695632748677566
POWHATAN AUTO AND TRACTOR PARTS INC,2020,3300.12,14,4,0.0,1.5185185185185186,0.16812020128816257,False,0.0333541748876876,-0.8605813501259416
POWHATAN AUTO AND TRACTOR PARTS INC,2021,13830.68,25,6,0.0,2.7282608695652173,0.1392041339052178,False,0.2730147033999626,-0.8241244919988335
POWHATAN AUTO AND TRACTOR PARTS INC,2022,1838.74,3,1,0.0,0.0,0.19281771908974094,False,-0.25214562780210603,-0.9019566900951426
POWHATAN COLLISION & GLASS,2017,100.0,2,2,0.0,1.0,0.19019008561630474,False,-0.2202599503507487,-0.8915217417787504
POWHATAN COLLISION & GLASS,2018,195.0,1,1,0.0,7.0,0.1988253337695502,False,-0.2890542547019697,-0.8490366382873763
POWHATAN COLLISION & GLASS,2019,206.04,1,1,0.0,1.0,0.19447743889641989,False,-0.2804370677936875,-0.8972002415108238
POWHATAN COLLISION & GLASS,2020,1369.98,3,3,0.0,7.75,0.1917513896784397,False,-0.1696976229584666,-0.8313859639015548
"POWHATAN OVERHEAD DOORS, INC.",2021,925.0,1,1,1.0,1.0,0.199498648134461,False,-0.3026862230180904,-0.6891921907200247
PREMIER FIRE PROTECTION SERVICES,2018,800.0,1,1,0.0,279.0,0.09955455680890996,False,-0.6796367270723838,1.334597583338706
PREMIER PARKING CORP,2018,960.0,1,1,4.0,37.0,0.1869386702323359,False,-0.4212545799678673,0.2234090613525172
PRESTIGE EVENTS LLC,2016,6206.5,1,1,0.0,18.0,0.19855668502921103,False,-0.3045068658274762,-0.7595497415534731
PRESTIGE EVENTS LLC,2017,8270.0,2,1,0.0,49.0,0.1891674498739327,False,-0.33552660594434536,-0.5088122225190465
PRESTIGE EVENTS LLC,2019,1965.0,1,1,0.0,55.0,0.19157906316878875,False,-0.3578852848164112,-0.46336212252567366
PRESTIGE SERVICES VA LLC,2018,5400.0,1,1,1.0,0.0,0.1987138309333265,False,-0.3009937530518148,-0.6963392059949591
PRESTIGE SERVICES VA LLC,2019,1426.71,1,1,1.0,93.0,0.18142953757372848,False,-0.4347779805395254,0.04944843297741221
PRINCE BOOKS,2016,4737.1,4,4,1.1666666666666667,25.8,0.20237049862483475,False,-0.16124839505978178,-0.4376142904243183
PRINCE BOOKS,2017,1101.1,9,5,0.5625,25.857142857142858,0.18331579232888123,False,-0.034364874777740355,-0.5518579870037751
PRINCE BOOKS,2019,282.0,1,2,5.0,6.0,0.1842112077065478,False,-0.3522626156931894,0.1865101251928766
PRINCE BOOKS,2020,224.0,1,1,1.0,61.0,0.19410832379512816,False,-0.3888919282102271,-0.20767237985685227
PRO CORR OUTFITTERS,2017,2101.76,6,4,2.3076923076923075,8.0,0.19623965627379691,False,-0.1345089787485147,-0.3408937120423088
PRO-TEC FIRE SOLUTIONS INC,2021,4170.0,3,2,4.222222222222222,11.0,0.19221664734725552,False,-0.3151215863852098,0.06868926318681934
PRO-TOTE SYSTEMS INC,2016,7990.0,1,1,1.0,18.0,0.20158637127850199,False,-0.32669503241014153,-0.5513322049878596
PROCESS & TECHNOLOGY SOLUTIONS INC,2021,449.0,1,1,1.0,5.0,0.20232326670684836,False,-0.30845786317999985,-0.6571753433460573
"PROCUREMENT SPECIALISTS, LLC",2016,68.22,1,1,5.0,45.0,0.18320779653913316,False,-0.4550847554393033,0.4953211765727084
"PROCUREMENT SPECIALISTS, LLC",2019,2924.31,9,12,3.3043478260869565,64.28571428571429,0.14063772233703908,False,0.1770518833903431,0.3565005775277884
"PROCUREMENT SPECIALISTS, LLC",2021,93510.77,57,33,2.7830188679245285,33.7,0.04139953373490446,False,1.862917651920075,0.17993922969794598
PROFESSIONAL POLYGRAPH AND INVESTIGATION,2018,41604.92,7,2,3.142857142857143,198.0,0.10035138836986074,False,-0.5039431416777529,1.3587584423911454
PROFESSIONAL POLYGRAPH AND INVESTIGATION,2019,35715.92,7,2,4.714285714285714,229.5,0.0688796409133498,False,-0.5845451248400868,1.9371173638676957
PROMO FACTORY LLC,2019,229.5,1,2,10.0,42.0,0.11080399583462619,False,-0.5154166760444836,1.514827298684113
PROPIO LS LLC,2020,1029.46,4,2,2.0,0.0,0.19594822844696697,False,-0.236589490167643,-0.48068343749697445
PROPIO LS LLC,2021,23683.71,15,3,6.266666666666667,69.75,0.10105481286868129,False,-0.2365722869726648,0.9910479072917928
PSYCHOLOGICAL & FORENSIC SERVICES PLLC,2018,31600.0,5,4,2.4,0.0,0.17567215747002868,False,-0.13676872818013244,-0.38159718900629874
PUMP HOUSE SUPPLY,2017,481.0,2,2,1.0,6.0,0.20263063616355315,False,-0.24970892967943756,-0.6434420500886778
PURPLE COMMUNICATIONS INC,2020,1253.0,1,1,3.0,5.0,0.19646399555108063,False,-0.35299249158752066,-0.24128398787298555
QUANTA SYSTEMS LLC,2017,480.06,2,2,3.0,15.0,0.19948663106738712,False,-0.30721450558765084,-0.15546043133936968
QUARLES PETROLEUM INC,2023,145913.21,3,3,5.2,0.0,0.1128281294600671,False,-0.2661966648300802,0.2157500497447579
R & S DETENTION CORPORTATION,2016,382029.94,6,4,1.8333333333333333,63.0,0.09165928276779184,False,-0.1811539414641497,0.076786789450338
